cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b3c6,333,0.5,0.25,0.28010481818181815,0.9048748,333,0.003049015998840332,1.0,0.03878701681847329,0.05698697070254644
MATR_b3c6,333,0.5,0.5,0.6311697272727272,0.9048748,333,0.002953767776489258,1.0,0.037733871657569126,0.05570213926812467
MATR_b3c6,466,0.7,0.25,0.28252823636363633,0.8763432545454545,200,0.005948126316070557,1.0,0.02713944882154465,0.038035282590443364
MATR_b3c6,466,0.7,0.5,0.6388349999999999,0.8763432545454545,200,0.006225943565368652,1.0,0.02623174399137497,0.03683949926627899
MATR_b4c1,259,0.3,0.25,0.29237977272727267,0.9420193636363635,603,0.0025174617767333984,1.0,0.010868941966573991,0.025091322528510908
MATR_b4c1,259,0.3,0.5,0.6544013454545454,0.9420193636363635,603,0.0025392770767211914,1.0,0.010899451340411235,0.02525084915166415
MATR_b4c1,431,0.5,0.25,0.2829546818181818,0.9249031818181818,431,0.0005168318748474121,1.0,0.018742934042229178,0.026848056741782714
MATR_b4c1,431,0.5,0.5,0.644966309090909,0.9249031818181818,431,0.0005388855934143066,1.0,0.018100959518945962,0.02601895574343566
MATR_b4c1,603,0.7,0.25,0.29059721818181816,0.887830909090909,259,0.008021414279937744,1.0,0.050708984776353286,0.05586582600066463
MATR_b4c1,603,0.7,0.5,0.6526878727272727,0.887830909090909,259,0.007629454135894775,1.0,0.0489990649076042,0.05405676296935389
MATR_b4c11,280,0.3,0.25,0.3253267818181818,0.9602826363636362,651,0.002243638038635254,1.0,0.013936564028720885,0.031763776299028997
MATR_b4c11,280,0.3,0.5,0.7206579272727273,0.9602826363636362,651,0.0022028684616088867,1.0,0.013959140638418828,0.03182226013714283
MATR_b4c11,465,0.5,0.25,0.3135060454545454,0.9506356363636363,466,0.0015850663185119629,1.0,0.006601490687914672,0.009576405150162623
MATR_b4c11,465,0.5,0.5,0.7035785909090908,0.9506356363636363,466,0.001666247844696045,1.0,0.006488953153462881,0.009165926209032043
MATR_b4c11,651,0.7,0.25,0.30782084545454547,0.9327249999999998,280,0.001265406608581543,1.0,0.010581385450703758,0.01589197515626659
MATR_b4c11,651,0.7,0.5,0.6918033181818182,0.9327249999999998,280,0.0013263225555419922,1.0,0.011755298290933882,0.017291152740564343
MATR_b4c15,262,0.3,0.25,0.3217188909090909,0.9622848181818181,610,0.002076566219329834,1.0,0.03753357808120915,0.06765578525969985
MATR_b4c15,262,0.3,0.5,0.7171568545454544,0.9622848181818181,610,0.0021612048149108887,1.0,0.038417099391827816,0.06929509359938604
MATR_b4c15,436,0.5,0.25,0.31591940909090904,0.9485627272727273,436,0.0014882087707519531,1.0,0.033667147227930364,0.05198080142096968
MATR_b4c15,436,0.5,0.5,0.705829209090909,0.9485627272727273,436,0.0015015006065368652,1.0,0.03540941587555299,0.054560034538789964
MATR_b4c15,610,0.7,0.25,0.33442201818181816,0.8866531727272727,262,0.035913825035095215,1.0,0.03595536844875976,0.03817546046606948
MATR_b4c15,610,0.7,0.5,0.7228584181818182,0.8866531727272727,262,0.03462803363800049,1.0,0.03320935414037632,0.03584031436919759
MATR_b4c21,272,0.3,0.25,0.31552292727272724,0.957123909090909,632,0.0015794634819030762,1.0,0.03652823725833169,0.07223331060223148
MATR_b4c21,272,0.3,0.5,0.7051455999999999,0.957123909090909,632,0.0015866756439208984,1.0,0.03676419431650186,0.07256637722756286
MATR_b4c21,452,0.5,0.25,0.31464990909090906,0.9464973636363636,452,0.0006557106971740723,1.0,0.02032419366646657,0.0369324660727818
MATR_b4c21,452,0.5,0.5,0.6987555454545454,0.9464973636363636,452,0.0007182955741882324,1.0,0.021038365838801965,0.0383195222878747
MATR_b4c21,632,0.7,0.25,0.30256187272727275,0.9184381818181817,272,0.0014550089836120605,1.0,0.016378308043760413,0.02398928348021622
MATR_b4c21,632,0.7,0.5,0.6810480909090909,0.9184381818181817,272,0.0018822550773620605,1.0,0.017765250933520934,0.026147796247075084
MATR_b4c3,274,0.3,0.25,0.2878703818181818,0.9474270909090907,638,0.0026755332946777344,1.0,0.03385283781630118,0.0724963585167898
MATR_b4c3,274,0.3,0.5,0.6499782454545454,0.9474270909090907,638,0.002672910690307617,1.0,0.03395026254242864,0.07271075514136843
MATR_b4c3,456,0.5,0.25,0.28829395454545453,0.9360764545454545,456,0.0012334585189819336,1.0,0.04035715425485059,0.07305461606647125
MATR_b4c3,456,0.5,0.5,0.6502968636363636,0.9360764545454545,456,0.001285254955291748,1.0,0.040987530102332435,0.07389222681020152
MATR_b4c3,638,0.7,0.25,0.2899863818181818,0.9070996272727272,274,0.0003510713577270508,1.0,0.03524412715086972,0.054176232151424475
MATR_b4c3,638,0.7,0.5,0.6574950454545454,0.9070996272727272,274,0.0006590485572814941,1.0,0.03703545490755652,0.05608560379051951
MATR_b4c32,252,0.3,0.25,0.3122813909090909,0.956752909090909,588,0.001290440559387207,1.0,0.015316797154290336,0.022318521090909045
MATR_b4c32,252,0.3,0.5,0.7018316363636363,0.956752909090909,588,0.001352548599243164,1.0,0.01490430888675508,0.02168546765239771
MATR_b4c32,420,0.5,0.25,0.3123046909090909,0.9479456363636362,420,0.0014626383781433105,1.0,0.04338092193717048,0.054789095184833075
MATR_b4c32,420,0.5,0.5,0.7077971909090908,0.9479456363636362,420,0.0014278888702392578,1.0,0.041775049623988925,0.05274299896399636
