horizon_scheme,seed,learning_rate,context_size,horizon,folds_represented,pooled_lifetime_rmse_cycles,pooled_lifetime_mae_cycles,pooled_lifetime_bias_cycles,pooled_rul_mape_percent,pooled_coverage,pooled_interval_width_cycles,num_predictions,num_unique_test_cells
expanded,42,5e-05,8,380,1,91.34308963062875,68.93478258817,15.468341505208276,19.10132737272783,0.7575757575757576,172.6984463434352,33,33
expanded,42,5e-05,8,400,1,87.2003572934946,63.09255910008636,10.703255653847684,20.360424319114554,0.7575757575757576,165.20224077370028,33,33
expanded,42,5e-05,8,420,1,84.11804128470777,59.18602788680565,7.614848189907522,29.414503159422534,0.7272727272727273,155.67186301617593,33,33
expanded,42,5e-05,8,440,1,88.93526077081987,61.10119503445935,5.177071085937039,21.226002545436124,0.75,150.86442636515744,32,32
expanded,42,5e-05,8,460,1,95.51529119170117,69.43188926198434,15.86653825399532,22.118675291627017,0.7096774193548387,160.45330140536666,31,31
expanded,42,5e-05,8,480,1,89.67856933422914,61.42656508434621,4.245419687253277,21.850736816166837,0.7419354838709677,144.78318447070805,31,31
expanded,42,5e-05,8,500,1,102.07414977595734,61.533224915436605,-19.98620890898754,24.4594334121635,0.7,135.6885007230899,30,30
expanded,42,5e-05,8,520,1,96.41919769209136,73.45759801155154,10.54894606795177,35.98248041216751,0.6071428571428571,145.14050246940343,28,28
expanded,42,5e-05,8,540,1,104.13538039370913,65.0236824913597,-25.500555712887625,19.98448085619696,0.5925925925925926,135.18835854633613,27,27
expanded,42,5e-05,8,560,1,96.09129024152195,64.50828158119576,-9.043855515136821,23.857787719283948,0.6666666666666666,136.9989246849163,27,27
expanded,42,5e-05,8,580,1,94.78656996045369,59.9513220994562,-17.033361224186493,24.328193413422593,0.6666666666666666,129.56851004507564,27,27
expanded,42,5e-05,8,600,1,100.11250060197933,58.37693928981726,-39.41592536716376,25.18536383813073,0.7407407407407407,124.73620363236189,27,27
expanded,42,5e-05,12,60,1,245.13780175254664,154.18636881245584,-41.910365247342966,18.71455164073759,0.7941176470588235,406.7714431172257,34,34
expanded,42,5e-05,12,80,1,215.94821260545746,158.0997382081196,83.15603982250883,23.34205349975981,0.7647058823529411,412.5768020730061,34,34
expanded,42,5e-05,12,100,1,174.86390047463877,135.92053756876325,90.7019239462882,21.250168927320082,0.8235294117647058,405.7181592901477,34,34
expanded,42,5e-05,12,120,1,152.6783758070746,116.53830424265021,71.44102861103933,19.155591277497006,0.7647058823529411,364.5449911752895,34,34
expanded,42,5e-05,12,140,1,143.17494220832822,101.12459256478834,29.55114259152821,16.347649354223478,0.8235294117647058,327.6761018492602,34,34
expanded,42,5e-05,12,160,1,159.80043663550248,102.09599444091421,-0.16823650339855542,15.5448615453087,0.7058823529411765,265.2757137283584,34,34
expanded,42,5e-05,12,180,1,155.4031602447243,112.20770989464742,41.55020067962502,18.372528922576397,0.7647058823529411,280.32052449119374,34,34
