cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,mean_predictive_std,mean_epistemic_std,mean_aleatoric_std,mean_prior_latent_std,interval_width,coverage_50,coverage_80,coverage_90,coverage_95,soh_mae,soh_rmse,soh_nll,soh_crps
MATR_b1c42,211,0.3,0.5,0.7348343454545454,0.9799835454545454,490,0.004947662353515625,0.03207896277308464,0.0012629521079361439,0.0320516899228096,0.15257452428340912,0.12574723362922668,0.9693877551020408,1.0,1.0,1.0,0.011261431538328832,0.019166703445961157,-2.7965547592263746,0.00965459408662882
MATR_b1c42,351,0.5,0.25,0.3250501636363636,0.9710162727272728,350,0.005107700824737549,0.03396576642990112,0.001087736920453608,0.03394532948732376,0.1245335042476654,0.1331433355808258,0.7028571428571428,1.0,1.0,1.0,0.012114249297550747,0.01543882796939298,-2.7135744621094147,0.00990146174978304
MATR_b1c42,351,0.5,0.5,0.7254936454545454,0.9710162727272728,350,0.005181372165679932,0.034049030393362045,0.0012756796786561608,0.034021127969026566,0.12453356385231018,0.13346976041793823,0.7,1.0,1.0,1.0,0.012017889533724103,0.015288698830563281,-2.7112966381379127,0.009902268580149426
MATR_b1c42,490,0.7,0.25,0.33576426363636364,0.9489094545454545,211,0.004911899566650391,0.03524298965930939,0.001043883035890758,0.03522472083568573,0.10613320767879486,0.13814999163150787,0.4312796208530806,0.8151658767772512,1.0,1.0,0.018163343458944024,0.018730439915187486,-2.327730979595677,0.013379908765463031
MATR_b1c42,490,0.7,0.5,0.7417866818181817,0.9489094545454545,211,0.004954516887664795,0.035526927560567856,0.0010155958589166403,0.03550977632403374,0.10613279789686203,0.13926303386688232,0.44075829383886256,0.8246445497630331,1.0,1.0,0.01773694171724726,0.018264049020401626,-2.3338029273303054,0.01325832156354217
MATR_b1c5,322,0.3,0.25,0.32882825454545456,0.9728682727272727,751,0.0046866536140441895,0.05195638909935951,0.0015617727767676115,0.051929961889982224,0.15492303669452667,0.20366531610488892,0.6498002663115846,1.0,1.0,1.0,0.02738411147172219,0.03515358922379695,-2.2457086426690926,0.0190103041596051
MATR_b1c5,322,0.3,0.5,0.7349137818181817,0.9728682727272727,751,0.004754841327667236,0.0519430935382843,0.0017760569462552667,0.051909103989601135,0.15492255985736847,0.20361317694187164,0.6498002663115846,1.0,1.0,1.0,0.027332157253742852,0.035091210938515256,-2.2473365035941235,0.018983485928421338
MATR_b1c5,537,0.5,0.25,0.32091,0.961469909090909,536,0.004288434982299805,0.04037296026945114,0.0017294428544119,0.04033249616622925,0.1530025601387024,0.15825910866260529,0.9981343283582089,1.0,1.0,1.0,0.015088990997912279,0.019523646013051562,-2.516487587071719,0.012185477148461054
MATR_b1c5,537,0.5,0.5,0.7157836181818181,0.961469909090909,536,0.004304647445678711,0.040519412606954575,0.0015486449701711535,0.04048720747232437,0.15300248563289642,0.15883317589759827,0.9981343283582089,1.0,1.0,1.0,0.015172769440643823,0.019604956160917394,-2.5139414715974513,0.012243096004724813
MATR_b1c5,751,0.7,0.25,0.31144765454545453,0.9424042727272727,322,0.00296705961227417,0.024504395201802254,0.0009703556424938142,0.02448476478457451,0.13879071176052094,0.09605547785758972,0.7360248447204969,0.9906832298136646,0.9968944099378882,0.9968944099378882,0.018655727738919464,0.02654774899316278,-2.695303263157569,0.011812433058800717
MATR_b1c5,751,0.7,0.5,0.7007524636363637,0.9424042727272727,322,0.0028961896896362305,0.02482602931559086,0.0010686282766982913,0.024802526459097862,0.13879051804542542,0.09731625765562057,0.7577639751552795,0.9968944099378882,0.9968944099378882,0.9968944099378882,0.017935370806581485,0.025765944325285343,-2.708747578169346,0.011442219522454116
MATR_b1c6,191,0.3,0.25,0.34019941818181815,0.9745786363636363,444,0.0046097636222839355,0.022626467049121857,0.001090387930162251,0.02259894460439682,0.1569344401359558,0.08869411796331406,0.41216216216216217,0.9819819819819819,1.0,1.0,0.014782981829600292,0.023094446329239446,-2.840866200790592,0.009981711486931595
MATR_b1c6,191,0.3,0.5,0.7461738545454545,0.9745786363636363,444,0.0046231746673583984,0.022680995985865593,0.0012262321542948484,0.02264637127518654,0.15693600475788116,0.0889078676700592,0.4166666666666667,0.9819819819819819,1.0,1.0,0.014660307550215506,0.022951507339824345,-2.8422045998120633,0.00993497849769675
MATR_b1c6,317,0.5,0.25,0.32969103636363634,0.9622893636363635,318,0.004885196685791016,0.014864830300211906,0.0007734698010608554,0.014843950048089027,0.15324565768241882,0.05826906859874725,0.015723270440251572,0.3836477987421384,0.5943396226415094,0.7264150943396226,0.028544059901867272,0.039439561277349086,-1.9558381399377982,0.021003046872136052
