epoch,source,teacher_forced_mse,recursive_mse,source_weight,cut_point_count,cut_point_min,cut_point_max,cut_points
19,CALCE_CX2_38.pkl,0.031946681439876556,0.04674080014228821,0.16666666666666666,16,39,1541,"[39, 100, 181, 245, 399, 500, 531, 664, 842, 909, 1020, 1103, 1172, 1340, 1396, 1541]"
20,CALCE_CX2_16.pkl,0.01802552118897438,0.014055182226002216,0.16666666666666666,16,3,1258,"[3, 100, 111, 181, 316, 373, 444, 575, 628, 717, 822, 891, 1009, 1106, 1108, 1258]"
20,CALCE_CX2_33.pkl,0.016326984390616417,0.018342889845371246,0.16666666666666666,16,47,1191,"[47, 85, 100, 201, 285, 390, 438, 558, 643, 748, 840, 853, 947, 1047, 1178, 1191]"
20,CALCE_CX2_34.pkl,0.012345613911747932,0.017790384590625763,0.16666666666666666,16,86,1329,"[86, 100, 130, 227, 298, 437, 513, 602, 703, 772, 869, 944, 1070, 1170, 1241, 1329]"
20,CALCE_CX2_35.pkl,0.01846960559487343,0.01866823434829712,0.16666666666666666,16,50,1364,"[50, 100, 194, 242, 379, 424, 520, 622, 754, 793, 919, 1057, 1104, 1251, 1279, 1364]"
20,CALCE_CX2_36.pkl,0.009811431169509888,0.020659271627664566,0.16666666666666666,16,43,1565,"[43, 100, 127, 270, 379, 495, 577, 652, 829, 897, 967, 1064, 1235, 1302, 1457, 1565]"
20,CALCE_CX2_38.pkl,0.03738946467638016,0.05807854235172272,0.16666666666666666,16,91,1495,"[91, 100, 198, 235, 401, 436, 622, 700, 776, 867, 998, 1086, 1230, 1279, 1379, 1495]"
21,CALCE_CX2_16.pkl,0.007138038985431194,0.0072691785171628,0.16666666666666666,16,38,1254,"[38, 100, 124, 241, 298, 368, 467, 595, 665, 767, 795, 919, 963, 1066, 1150, 1254]"
21,CALCE_CX2_33.pkl,0.017517900094389915,0.022211309522390366,0.16666666666666666,16,57,1202,"[57, 100, 132, 232, 305, 347, 465, 565, 607, 761, 800, 853, 969, 1062, 1147, 1202]"
21,CALCE_CX2_34.pkl,0.017351921647787094,0.025561677291989326,0.16666666666666666,16,90,1299,"[90, 100, 110, 244, 323, 417, 508, 612, 658, 789, 846, 913, 1058, 1149, 1269, 1299]"
21,CALCE_CX2_35.pkl,0.017925694584846497,0.017378978431224823,0.16666666666666666,16,38,1410,"[38, 100, 104, 291, 336, 425, 501, 651, 683, 808, 873, 1061, 1069, 1227, 1335, 1410]"
21,CALCE_CX2_36.pkl,0.017198652029037476,0.03329296410083771,0.16666666666666666,16,90,1505,"[90, 100, 190, 257, 411, 504, 594, 706, 832, 920, 1028, 1097, 1173, 1287, 1376, 1505]"
21,CALCE_CX2_38.pkl,0.05373520031571388,0.07939295470714569,0.16666666666666666,16,91,1555,"[91, 100, 130, 253, 350, 441, 586, 686, 737, 854, 971, 1143, 1206, 1313, 1429, 1555]"
22,CALCE_CX2_16.pkl,0.005893297493457794,0.008668482303619385,0.16666666666666666,16,32,1216,"[32, 100, 147, 193, 293, 371, 497, 521, 649, 751, 771, 888, 961, 1059, 1158, 1216]"
22,CALCE_CX2_33.pkl,0.02621062844991684,0.031021304428577423,0.16666666666666666,16,60,1253,"[60, 100, 132, 213, 313, 403, 456, 542, 619, 748, 777, 896, 972, 1039, 1172, 1253]"
